## mouse.knockout
## Mouse knockout phenotypes from JAX
## hg19, source=gm.jax created=28JUN2011:04:21:45
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 6228 entries. Columns: 6
#chr	bp1	bp2	geneName	musName	phenotype
chr14	96671016	96710666	BDKRB2	Bdkrb2	"adipose tissue;cardiovascular system;cellular;digestive/alimentary;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;normal;renal/urinary system;reproductive system;skeleton"
chr11	27676440	27743605	BDNF	Bdnf	"behavior/neurological;craniofacial;digestive/alimentary;growth/size;hearing/vestibular/ear;homeostasis/metabolism;integument;mortality/aging;nervous system;no phenotypic analysis;normal;reproductive system;respiratory system;taste/olfaction;vision/eye"
chr17	40962152	40985367	BECN1	Becn1	"cellular;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;immune system;integument;mortality/aging;reproductive system;tumorigenesis"
chr11	61717293	61732987	BEST1	Best1	"pigmentation;vision/eye"
chr19	12862516	12869272	BEST2	Best2	"digestive/alimentary;homeostasis/metabolism;taste/olfaction;vision/eye"
chrX	102317579	102319168	BEX1	Bex1	"homeostasis/metabolism;muscle"
chr20	17474550	17549865	BFSP1	Bfsp1	"vision/eye"
chr3	133118839	133194066	BFSP2	Bfsp2	"vision/eye"
chrX	152760397	152775012	BGN	Bgn	"behavior/neurological;growth/size;immune system;limbs/digits/tail;muscle;skeleton"
chr7	97840739	97842291	BHLHA15	Bhlha15	"digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;tumorigenesis"
chr8	65492814	65496181	BHLHE22	Bhlhe22	"behavior/neurological;growth/size;integument;nervous system;vision/eye"
chr20	61637331	61638387	BHLHE23	Bhlhe23	"nervous system;vision/eye"
chr3	5020801	5027008	BHLHE40	Bhlhe40	"behavior/neurological;hematopoietic system;immune system;nervous system;no phenotypic analysis;renal/urinary system"
chr12	26272959	26278060	BHLHE41	Bhlhe41	"behavior/neurological;hematopoietic system;immune system"
chr10	60272900	60591195	BICC1	Bicc1	"behavior/neurological;cardiovascular system;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;renal/urinary system;reproductive system"
chr22	18216906	18257536	BID	Bid	"behavior/neurological;cardiovascular system;cellular;endocrine/exocrine gland;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;respiratory system;vision/eye"
chr22	43506754	43525718	BIK	Bik	"endocrine/exocrine gland;growth/size;hematopoietic system;immune system;mortality/aging;normal;renal/urinary system;reproductive system"
chr2	127805603	127864931	BIN1	Bin1	"behavior/neurological;cardiovascular system;cellular;endocrine/exocrine gland;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;reproductive system;tumorigenesis"
chr8	22477931	22526661	BIN3	Bin3	"hematopoietic system;immune system;liver/biliary system;respiratory system;tumorigenesis;vision/eye"
chr11	102217942	102249401	BIRC2	Birc2	"hematopoietic system;immune system"
chr11	102188215	102210134	BIRC3	Birc3	"hematopoietic system;immune system"
chr17	76210267	76221717	BIRC5	Birc5	"cellular;embryogenesis;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;normal"
chr2	32582096	32843966	BIRC6	Birc6	"cardiovascular system;cellular;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;integument;liver/biliary system;mortality/aging;nervous system;normal"
chr8	11351510	11422113	BLK	Blk	"hematopoietic system;immune system;normal"
chr15	91260558	91358859	BLM	Blm	"cardiovascular system;cellular;embryogenesis;growth/size;hematopoietic system;immune system;integument;mortality/aging;no phenotypic analysis;normal;tumorigenesis"
chr17	28575218	28619074	BLMH	Blmh	"behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging"
chr10	97951458	98031344	BLNK	Blnk	"cardiovascular system;hematopoietic system;immune system;mortality/aging;tumorigenesis"
chr19	45682003	45685059	BLOC1S3	Bloc1s3	"behavior/neurological;cellular;craniofacial;hearing/vestibular/ear;immune system;integument;limbs/digits/tail;pigmentation;vision/eye"
chr15	40380091	40401093	BMF	Bmf	"growth/size;hematopoietic system;immune system;limbs/digits/tail;mortality/aging;no phenotypic analysis;normal;reproductive system;tumorigenesis"
chr10	22610140	22620413	BMI1	Bmi1	"behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;immune system;limbs/digits/tail;mortality/aging;nervous system;normal;respiratory system;skeleton;tumorigenesis"
chr8	22022249	22069839	BMP1	Bmp1	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;growth/size;mortality/aging;skeleton"
chr2	69092613	69098649	BMP10	Bmp10	"cardiovascular system;mortality/aging;muscle"
chrX	50653784	50659607	BMP15	Bmp15	"endocrine/exocrine gland;reproductive system"
chr20	6748311	6760927	BMP2	Bmp2	"cardiovascular system;craniofacial;embryogenesis;growth/size;hearing/vestibular/ear;homeostasis/metabolism;limbs/digits/tail;mortality/aging;nervous system;normal;reproductive system;skeleton"
chr4	81952119	81978685	BMP3	Bmp3	"skeleton"
chr14	54416454	54425479	BMP4	Bmp4	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr6	55618443	55740362	BMP5	Bmp5	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;immune system;limbs/digits/tail;liver/biliary system;mortality/aging;renal/urinary system;reproductive system;respiratory system;skeleton"
chr6	7727030	7881655	BMP6	Bmp6	"growth/size;reproductive system;skeleton"
chr20	55743804	55841685	BMP7	Bmp7	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;immune system;integument;limbs/digits/tail;mortality/aging;nervous system;normal;pigmentation;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr1	39957318	39991607	BMP8A	Bmp8a	"endocrine/exocrine gland;immune system;reproductive system"
chr1	40222854	40254533	BMP8B	Bmp8b	"cellular;embryogenesis;endocrine/exocrine gland;growth/size;immune system;mortality/aging;reproductive system"
chr7	33944523	34195484	BMPER	Bmper	"craniofacial;embryogenesis;growth/size;hearing/vestibular/ear;limbs/digits/tail;mortality/aging;nervous system;renal/urinary system;respiratory system;skeleton;vision/eye"
chr10	88516407	88692595	BMPR1A	Bmpr1a	"behavior/neurological;cardiovascular system;cellular;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;pigmentation;reproductive system;respiratory system;skeleton;tumorigenesis;vision/eye"
chr4	95679119	96079599	BMPR1B	Bmpr1b	"cellular;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;limbs/digits/tail;mortality/aging;nervous system;normal;pigmentation;reproductive system;skeleton;vision/eye"
chr2	203241659	203432474	BMPR2	Bmpr2	"cardiovascular system;embryogenesis;growth/size;mortality/aging;normal;skeleton"
chrX	15482369	15574652	BMX	Bmx	"normal"
chr15	83924655	83953466	BNC1	Bnc1	"homeostasis/metabolism;no phenotypic analysis;vision/eye"
chr9	16409501	16870841	BNC2	Bnc2	"craniofacial;digestive/alimentary;embryogenesis;growth/size;mortality/aging;skeleton"
chr10	133781578	133795435	BNIP3	Bnip3	"cardiovascular system;hematopoietic system;homeostasis/metabolism;muscle"
chr8	26240414	26363152	BNIP3L	Bnip3l	"cardiovascular system;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;muscle"
chr3	112929850	113006303	BOC	Boc	"nervous system"
chr2	198591603	198651486	BOLL	Boll	"endocrine/exocrine gland;reproductive system"
chr17	65821640	65980494	BPTF	Bptf	"embryogenesis;growth/size;mortality/aging;no phenotypic analysis"
chr7	140419127	140624564	BRAF	Braf	"behavior/neurological;cardiovascular system;cellular;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;normal;pigmentation;respiratory system;tumorigenesis"
chr17	41196312	41277500	BRCA1	Brca1	"adipose tissue;behavior/neurological;cardiovascular system;cellular;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;muscle;nervous system;normal;pigmentation;renal/urinary system;reproductive system;respiratory system;skeleton;tumorigenesis"
chr13	32889611	32973805	BRCA2	Brca2	"behavior/neurological;cellular;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;nervous system;normal;reproductive system;skeleton;tumorigenesis"
chr6	32936437	32949282	BRD2	Brd2	"adipose tissue;behavior/neurological;cellular;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;nervous system"
chr19	15347647	15443356	BRD4	Brd4	"craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;integument;liver/biliary system;mortality/aging;reproductive system;skeleton;vision/eye"
chr1	92414928	92479983	BRDT	Brdt	"reproductive system"
chrX	135570046	135575939	BRS3	Brs3	"adipose tissue;behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism"
chr19	55793440	55823901	BRSK1	Brsk1	"behavior/neurological;integument;mortality/aging;nervous system;normal"
chr11	1411129	1483919	BRSK2	Brsk2	"behavior/neurological;integument;mortality/aging;nervous system;normal"
chr21	40556102	40693485	BRWD1	Brwd1	"reproductive system"
chrX	79926353	80065187	BRWD3	Brwd3	"craniofacial;embryogenesis;growth/size;limbs/digits/tail"
chr19	571297	583493	BSG	Bsg	"growth/size;immune system;liver/biliary system;mortality/aging;reproductive system;respiratory system"
chr3	49591922	49708978	BSN	Bsn	"behavior/neurological;hearing/vestibular/ear;mortality/aging;muscle;nervous system"
chr1	55464606	55476556	BSND	Bsnd	"behavior/neurological;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system"
chr4	15704573	15739936	BST1	Bst1	"hematopoietic system;immune system"
chr11	122848278	122852428	BSX	Bsx	"adipose tissue;behavior/neurological;cellular;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;mortality/aging;normal;other;reproductive system"
chr4	75669969	75719896	BTC	Btc	"cardiovascular system;growth/size;homeostasis/metabolism;mortality/aging;muscle;normal;skeleton"
chr3	15642848	15687329	BTD	Btd	"behavior/neurological;growth/size;homeostasis/metabolism;integument;muscle;pigmentation;renal/urinary system;skeleton;vision/eye"
chr5	72794233	72801460	BTF3	Btf3	"mortality/aging"
chr1	203274619	203278730	BTG2	Btg2	"nervous system;skeleton"
chr21	18965971	18985265	BTG3	Btg3	"skeleton;tumorigenesis"
chrX	100604435	100641183	BTK	Btk	"digestive/alimentary;hematopoietic system;homeostasis/metabolism;immune system;tumorigenesis"
chr3	112182815	112218408	BTLA	Btla	"hematopoietic system;immune system"
chr6	26501449	26510650	BTN1A1	Btn1a1	"endocrine/exocrine gland;integument;reproductive system"
chr10	103113820	103317078	BTRC	Btrc	"cellular;hematopoietic system;immune system;mortality/aging;reproductive system;tumorigenesis"
chr2	111395275	111435691	BUB1	Bub1	"cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;no phenotypic analysis;normal;other;reproductive system;tumorigenesis"
chr15	40453224	40513337	BUB1B	Bub1b	"adipose tissue;cellular;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;reproductive system;skeleton;tumorigenesis;vision/eye"
chr10	124913793	124924886	BUB3	Bub3	"adipose tissue;cellular;embryogenesis;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;skeleton;tumorigenesis;vision/eye"
chr6	105544697	105585049	BVES	Bves	"cardiovascular system;muscle"
chr6	41888926	41900784	BYSL	Bysl	"mortality/aging"
chr10	45466429	45474258	C10orf10	8430408G22Rik	"normal"
chr11	86013253	86056969	C11orf73	l7Rn6	"mortality/aging"
chr12	53693470	53700961	C12orf10	Myg1	"behavior/neurological;homeostasis/metabolism"
chr7	7196565	7288282	C1GALT1	C1galt1	"cardiovascular system;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;renal/urinary system;reproductive system"
chrX	119759648	119764005	C1GALT1C1	C1galt1c1	"cardiovascular system;embryogenesis;growth/size;mortality/aging;nervous system;no phenotypic analysis"
chr1	22962999	22966101	C1QA	C1qa	"behavior/neurological;immune system;mortality/aging;nervous system;normal;renal/urinary system"
chr1	231359509	231376933	C1orf131	2810004N23Rik	"no phenotypic analysis"
chr11	73723763	73882255	C2CD3	C2cd3	"cardiovascular system;embryogenesis;homeostasis/metabolism;limbs/digits/tail;mortality/aging;nervous system"
chr19	6677715	6730573	C3	C3	"adipose tissue;behavior/neurological;cardiovascular system;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;normal;renal/urinary system;reproductive system;skeleton;vision/eye"
chr12	8210898	8219067	C3AR1	C3ar1	"adipose tissue;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;nervous system;respiratory system"
chr6	31982539	32003195	C4B	C4b	"cardiovascular system;digestive/alimentary;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;renal/urinary system"
chr9	123714616	123812554	C5	Hc	"homeostasis/metabolism;immune system;normal;respiratory system;skeleton"
chr19	47793280	47825323	C5AR1	C5ar1	"hematopoietic system;immune system;mortality/aging;reproductive system"
chr5	41142336	41261540	C6	C6	"homeostasis/metabolism"
chr1	57394883	57431813	C8B	C8b	"hematopoietic system"
chr9	131581930	131592100	C9orf114	D2Wsu81e	"cellular;mortality/aging"
chr9	97488983	97849441	C9orf3	2010111I01Rik	"normal"
chr15	63613577	63674360	CA12	Car12	"mortality/aging"
chr1	150229554	150237478	CA14	Car14	"growth/size;homeostasis/metabolism;mortality/aging;normal;reproductive system"
chr8	86376081	86393722	CA2	Car2	"digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;renal/urinary system;reproductive system;skeleton"
chr8	86285665	86361269	CA3	Car3	"muscle"
chr17	58227297	58248260	CA4	Car4	"growth/size;homeostasis/metabolism;mortality/aging;reproductive system"
chr8	61099906	61193971	CA8	Car8	"behavior/neurological"
chr9	35673853	35681156	CA9	Car9	"digestive/alimentary;endocrine/exocrine gland;mortality/aging"
chr22	24407642	24574596	CABIN1	Cabin1	"immune system;mortality/aging"
chr18	20714528	20840431	CABLES1	Cables1	"reproductive system;tumorigenesis"
chr11	67219877	67226699	CABP4	Cabp4	"nervous system;vision/eye"
chr19	13317256	13734804	CACNA1A	Cacna1a	"behavior/neurological;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;reproductive system;respiratory system"
chr9	140772241	141019076	CACNA1B	Cacna1b	"behavior/neurological;cardiovascular system;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;integument;mortality/aging;nervous system"
chr12	2079952	2802108	CACNA1C	Cacna1c	"behavior/neurological;cardiovascular system;embryogenesis;endocrine/exocrine gland;homeostasis/metabolism;integument;mortality/aging;nervous system"
chr3	53528683	53847760	CACNA1D	Cacna1d	"behavior/neurological;cardiovascular system;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system"
